PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Kid Gleason,22,1966,7452,1020,1944,216,80,15,0,500,131,328,0,0.261,0
Pinky Higgins,14,1802,6636,930,1941,374,51,140,1075,800,590,61,59,0.292,0
Wally Pipp,15,1872,6914,974,1941,311,148,90,675,596,551,125,60,0.281,0
Adam Jones,14,1823,7009,963,1939,336,29,282,945,340,1395,97,35,0.277,0
Bing Miller,16,1820,6212,946,1934,389,96,116,990,383,340,127,82,0.311,0
Devon White,17,1941,7344,1125,1934,378,71,208,846,541,1526,346,98,0.263,0
Andruw Jones,17,2196,7599,1204,1933,383,36,434,1289,891,1748,152,59,0.254,0
Carl Crawford,15,1716,6655,998,1931,309,123,136,766,377,1067,480,109,0.29,0
Don Kessinger,16,2078,7651,899,1931,254,80,14,527,684,759,100,85,0.252,0
Larry Gardner,17,1923,6688,866,1931,301,129,27,322,654,282,165,68,0.289,0
Bobby Lowe,18,1818,7064,1131,1929,230,85,71,0,473,214,302,0,0.273,0
Bill Russell,18,2181,7318,796,1926,293,57,46,627,483,667,167,69,0.263,0
Marty McManus,15,1831,6660,1008,1926,401,88,120,996,675,558,126,91,0.289,0
George Foster,18,1977,7023,986,1925,307,47,348,1239,666,1419,51,31,0.274,0
Tino Martinez,16,2023,7111,1008,1925,365,21,339,1271,780,1069,27,20,0.271,0
Fielder Jones,15,1788,6747,1180,1920,206,75,21,0,817,15,359,0,0.285,0
Jose Cardenal,18,2017,6964,936,1913,333,46,138,775,608,807,329,139,0.275,0
Ron Fairly,21,2442,7184,931,1913,307,33,215,1044,1052,877,35,33,0.266,0
Carl Furillo,15,1806,6378,895,1910,324,56,192,1058,514,436,48,26,0.299,0
Dante Bichette,14,1704,6381,934,1906,401,27,274,1141,355,1078,152,73,0.299,0
Jack Tobin,13,1619,6174,936,1906,294,99,64,392,508,267,147,62,0.309,0
Lance Berkman,15,1879,6491,1146,1905,422,30,366,1234,1201,1300,86,48,0.293,0
Royce Clayton,17,2108,7379,935,1904,363,55,110,723,565,1415,231,100,0.258,0
Brian Giles,15,1847,6527,1121,1897,411,55,287,1078,1183,835,109,45,0.291,0
Terry Pendleton,15,1893,7032,851,1897,356,39,140,946,486,979,127,59,0.27,0
Jim Gilliam,14,1956,7119,1163,1889,304,71,65,558,1036,416,203,111,0.265,0
Luis Castillo,15,1720,6510,1001,1889,194,59,28,443,800,850,370,142,0.29,0
Larry Doyle,14,1766,6509,960,1887,299,123,74,50,625,274,298,27,0.29,0
Bobby Bonds,14,1849,7043,1258,1886,302,66,332,1024,914,1757,461,169,0.268,0
Robin Ventura,16,2079,7064,1006,1885,338,14,294,1182,1075,1179,24,38,0.267,0
Claudell Washington,17,1912,6787,926,1884,334,69,164,824,468,1266,312,134,0.278,0
Vinny Castilla,16,1854,6822,902,1884,349,28,320,1105,423,1069,33,43,0.276,0
Tommy Tucker,13,1687,6479,1084,1882,240,85,42,0,479,223,352,0,0.29,0
Paul Hines,16,1481,6253,1083,1881,368,84,56,0,366,304,153,0,0.301,0
Matt Williams,17,1866,7000,997,1878,338,35,378,1218,469,1363,53,35,0.268,0
Roger Peckinpaugh,17,2012,7233,1006,1876,256,75,48,409,814,609,205,70,0.259,0
Chet Lemon,16,1988,6868,973,1875,396,61,215,884,749,1024,58,76,0.273,0
Ron Cey,17,2073,7162,977,1868,328,21,316,1139,1012,1235,24,29,0.261,0
Eddie Yost,18,2109,7346,1215,1863,337,56,139,683,1614,920,72,66,0.254,0
Bobby Murcer,17,1908,6730,972,1862,285,45,252,1043,862,841,127,75,0.277,0
Mark Teixeira,14,1862,6936,1099,1862,408,18,409,1298,918,1441,26,7,0.268,0
Curt Flood,15,1759,6357,851,1861,271,44,85,636,444,609,88,73,0.293,0
Vern Stephens,15,1720,6497,1001,1859,307,42,247,1174,692,685,25,22,0.286,0
Pete Runnels,14,1799,6373,876,1854,282,64,49,630,844,627,37,51,0.291,0
Dick Allen,15,1749,6332,1099,1848,320,79,351,1119,894,1556,133,52,0.292,0
Harry Davis,22,1755,6653,1001,1841,361,145,75,0,525,45,285,2,0.277,0
John Anderson,14,1635,6341,870,1841,328,124,49,0,310,55,338,0,0.29,0
Chuck Knoblauch,12,1632,6366,1132,1839,322,64,98,615,804,730,407,117,0.289,0
Bob Boone,19,2264,7245,679,1838,303,26,105,826,663,608,38,50,0.254,0
Frank Baker,13,1575,5984,887,1838,315,103,96,107,473,182,235,28,0.307,1
Sam West,16,1753,6148,934,1838,347,101,75,838,696,540,53,56,0.299,0
Hanley Ramirez,15,1668,6349,1049,1834,375,32,271,917,660,1234,281,93,0.289,0
Mike Tiernan,13,1476,5906,1313,1834,256,162,106,0,747,318,428,0,0.311,0
Arlie Latham,17,1627,6822,1478,1833,245,85,27,0,588,239,739,0,0.269,0
Bobby Grich,17,2008,6890,1033,1833,320,47,224,864,1087,1278,104,83,0.266,0
Edwin Encarnacion,16,1960,7040,1099,1832,370,10,424,1261,903,1426,61,14,0.26,0
Joe Adcock,17,1959,6606,823,1832,295,35,336,1122,594,1059,20,25,0.277,0
Benito Santiago,20,1978,6951,755,1830,323,41,217,920,430,1270,91,69,0.263,0
Bob Watson,19,1832,6185,802,1826,307,41,184,989,653,796,27,28,0.295,0
Jack Clark,18,1994,6847,1118,1826,332,39,340,1180,1262,1441,77,61,0.267,0
Gus Bell,20,1741,6478,865,1823,311,66,206,942,470,636,30,31,0.281,0
Norm Cash,17,2089,6705,1046,1820,241,41,377,1103,1043,1091,43,30,0.271,0
Babe Herman,13,1552,5603,882,1818,399,110,181,997,520,553,94,0,0.324,0
Rafael Furcal,14,1614,6477,1063,1817,311,69,113,587,643,910,314,94,0.281,0
Matt Kemp,15,1750,6365,950,1808,338,37,287,1031,518,1641,184,63,0.284,0
Jack Doyle,17,1564,6039,971,1806,315,64,26,0,437,132,516,0,0.299,0
Milt Stock,14,1628,6249,839,1806,270,58,22,449,455,321,155,75,0.289,0
Donie Bush,16,1946,7210,1280,1804,186,74,9,69,1158,346,404,75,0.25,0
Kip Selbach,13,1610,6158,1064,1803,299,149,44,0,783,76,334,0,0.293,0
Roy White,15,1881,6650,964,1803,300,51,160,758,934,708,233,117,0.271,0
Garry Maddox,15,1749,6331,777,1802,337,62,117,754,323,781,248,92,0.285,0
Curtis Granderson,16,2057,7236,1217,1800,346,95,344,937,924,1916,153,50,0.249,0
Joe Quinn,17,1768,6879,891,1797,228,70,29,0,364,214,268,0,0.261,0
Andy Pafko,17,1852,6292,844,1796,264,62,213,976,561,477,38,13,0.285,0
Greg Luzinski,15,1821,6505,880,1795,344,24,307,1128,845,1495,37,31,0.276,0
Vernon Wells,15,1731,6642,930,1794,379,34,270,958,472,956,109,37,0.27,0
Sal Bando,16,2019,7060,982,1790,289,38,242,1039,1031,923,75,46,0.254,0
Larry Parrish,15,1891,6792,850,1789,360,33,256,992,529,1359,30,36,0.263,0
Mark Kotsay,17,1914,6464,790,1784,353,48,127,720,554,757,98,64,0.276,0
Lance Parrish,19,1988,7067,856,1782,305,27,324,1070,612,1527,28,37,0.252,0
Jermaine Dye,14,1763,6487,984,1779,363,25,325,1072,597,1308,46,26,0.274,0
Alex Rios,12,1691,6419,885,1778,374,63,169,794,400,1117,253,77,0.277,0
David Wright,14,1585,5998,949,1777,390,26,242,970,762,1292,196,65,0.296,0
Matty Alou,15,1667,5789,780,1777,236,50,31,427,311,377,156,80,0.307,0
Boog Powell,17,2042,6681,889,1776,270,11,339,1187,1001,1226,20,21,0.266,0
Travis Fryman,13,1698,6481,895,1776,345,40,223,1022,602,1369,72,38,0.274,0
Bret Boone,14,1780,6683,927,1775,366,28,252,1021,552,1295,94,53,0.266,0
Frank Howard,16,1895,6488,864,1774,245,35,382,1119,782,1460,8,9,0.273,0
Heinie Groh,16,1676,6074,918,1774,308,87,26,252,696,345,180,66,0.292,0
Joe Jackson,13,1332,4981,873,1772,307,168,54,121,519,158,202,61,0.356,0
Harry Stovey,14,1486,6138,1492,1771,347,174,122,0,663,343,509,0,0.289,0
Frank Schulte,15,1806,6533,906,1766,288,124,92,0,545,515,233,17,0.27,0
Ted Kluszewski,15,1718,5929,848,1766,290,29,279,1028,492,365,20,10,0.298,0
Ozzie Guillen,16,1993,6686,773,1764,275,69,28,619,239,511,169,108,0.264,0
Asdrubal Cabrera,15,1822,6632,886,1763,401,28,195,869,589,1330,91,32,0.266,0
Jhonny Peralta,15,1798,6599,841,1761,376,24,202,873,606,1450,17,27,0.267,0
Chris Speier,19,2260,7156,770,1759,302,50,112,720,847,988,42,54,0.246,0
Ginger Beaumont,12,1463,5660,955,1759,182,82,39,0,425,14,254,0,0.311,0
Randy Winn,13,1717,6186,863,1759,367,59,110,662,526,1010,215,84,0.284,0
Johnny Callison,16,1886,6652,926,1757,321,89,226,840,650,1064,74,51,0.264,0
Mike Griffin,12,1511,5914,1405,1753,313,108,42,0,809,206,473,0,0.296,0
Ossie Bluege,18,1867,6440,883,1751,276,67,43,848,723,515,140,87,0.272,0
Kent Hrbek,14,1747,6192,903,1749,312,18,293,1086,838,798,37,26,0.282,0
Deacon McGuire,26,1781,6290,770,1748,300,79,45,0,515,214,117,0,0.278,0
Freddy Lindstrom,13,1438,5611,895,1747,301,81,103,779,334,276,84,10,0.311,0
Howie Kendrick,15,1621,5950,792,1747,354,38,127,724,349,1102,126,47,0.294,0
Nomar Garciaparra,14,1434,5586,927,1747,370,52,229,936,403,554,95,31,0.313,0
Eric Young Sr.,15,1730,6119,996,1731,327,46,79,543,660,462,465,168,0.283,0
Rocky Colavito,14,1841,6503,971,1730,283,21,374,1159,951,880,19,27,0.266,0
Tony Cuccinello,15,1704,6184,730,1729,334,46,94,884,579,497,42,3,0.28,0
Albert Belle,12,1539,5853,974,1726,389,21,381,1239,683,961,88,41,0.295,0
Jim Fregosi,18,1902,6523,844,1726,264,78,151,706,715,1097,76,40,0.265,0
Steve Brodie,12,1437,5699,886,1726,191,89,25,0,420,148,289,0,0.303,0
Leo Cardenas,16,1941,6707,662,1725,285,49,118,689,522,1135,39,48,0.257,0
Eric Karros,14,1755,6441,797,1724,324,11,284,1027,552,1167,59,30,0.268,0
Cy Seymour,16,1528,5682,737,1723,229,96,52,0,354,32,222,0,0.303,0
Starlin Castro,12,1573,6148,698,1722,319,40,138,678,338,1108,89,52,0.28,0
Cupid Childs,13,1456,5618,1214,1720,205,100,20,0,991,117,269,0,0.306,0
Vic Power,12,1627,6046,765,1716,290,49,126,658,279,247,45,35,0.284,0
Baby doll Jacobson,11,1472,5507,787,1714,328,94,83,700,355,410,86,54,0.311,0
Mark Loretta,15,1726,5812,768,1713,309,22,76,629,555,605,47,35,0.295,0
Frank McCormick,13,1534,5723,722,1711,334,26,128,951,399,189,27,0,0.299,0
Ken Caminiti,15,1760,6288,894,1710,348,17,239,983,727,1163,88,39,0.272,0
Augie Galan,16,1742,5937,1004,1706,336,74,100,830,979,393,123,0,0.287,0
Bill White,13,1673,5972,843,1706,278,65,202,870,596,927,103,68,0.286,0
Bobby Thomson,15,1779,6305,903,1705,267,74,264,1026,559,804,38,20,0.27,0
Lou Piniella,18,1747,5867,651,1705,305,41,102,766,368,541,32,41,0.291,0
Roy Sievers,17,1887,6387,945,1703,292,42,318,1147,841,920,14,19,0.267,0
George A. Bell,12,1587,6123,814,1702,308,34,265,1002,331,771,67,36,0.278,0
Pinky Whitney,12,1539,5765,696,1701,303,56,93,927,400,438,45,0,0.295,0
Dave Philley,18,1904,6296,789,1700,276,72,84,729,594,551,101,63,0.27,0
Mike Cameron,17,1955,6839,1064,1700,383,59,278,968,867,1901,297,83,0.249,0
Aubrey Huff,13,1681,6104,806,1699,360,24,242,904,571,907,37,25,0.278,0
Darin Erstad,14,1654,6024,913,1697,316,33,124,699,475,939,179,58,0.282,0
Jim Gantner,17,1801,6189,726,1696,262,38,47,568,383,501,137,78,0.274,0
Lu Blue,13,1615,5904,1151,1696,319,109,44,695,1092,436,151,85,0.287,0
Richie Hebner,18,1908,6144,865,1694,273,57,203,890,687,741,38,40,0.276,0
Bob Meusel,11,1407,5475,826,1693,368,95,156,1067,375,619,142,102,0.309,0
Vic Wertz,17,1862,6099,867,1692,289,42,266,1178,828,842,9,19,0.277,0
Billy Goodman,16,1623,5644,807,1691,299,44,19,591,669,329,37,30,0.3,0
Alfredo Griffin,18,1962,6780,759,1688,245,78,24,527,338,664,192,134,0.249,0
Hardy Richardson,14,1331,5642,1120,1688,303,126,70,0,377,445,205,0,0.299,0
Shano Collins,16,1799,6390,747,1687,310,133,22,231,331,405,225,83,0.264,0
Tony Pena,18,1988,6489,667,1687,298,27,107,708,455,846,80,63,0.26,0
Joe Vosmik,13,1414,5472,818,1682,335,92,65,874,514,272,23,24,0.307,0
Dom Dimaggio,11,1399,5640,1046,1680,308,57,87,618,750,571,100,62,0.298,0
Pete Fox,13,1461,5636,895,1678,314,75,65,694,392,471,158,81,0.298,0
Rico Carty,15,1651,5606,712,1677,278,17,204,890,642,663,21,26,0.299,0
Tim Salmon,14,1672,5934,986,1674,339,24,299,1016,970,1360,48,42,0.282,0
Davey Lopes,16,1812,6354,1023,1671,232,50,155,614,833,852,557,114,0.263,0
Fred Pfeffer,16,1670,6555,1094,1671,231,119,94,0,527,498,382,0,0.255,0
Shin-Soo Choo,16,1652,6087,961,1671,339,29,218,782,868,1579,157,55,0.275,0
Reggie Sanders,17,1777,6241,1037,1666,341,60,305,983,674,1614,304,115,0.267,0
Jim Wynn,15,1920,6653,1105,1665,285,39,291,964,1224,1427,225,101,0.25,0
Jorge Posada,17,1829,6092,900,1664,379,10,275,1065,936,1453,20,21,0.273,0
Brady Anderson,15,1834,6499,1062,1661,338,67,210,761,960,1190,315,100,0.256,0
Cookie Rojas,16,1822,6309,714,1660,254,25,54,593,396,489,74,68,0.263,0
Mickey Rivers,15,1468,5629,785,1660,247,71,61,499,266,471,267,90,0.295,0
